Index,Bat1,Runs,BF,SR,4s,6s,Opposition,Ground,Start_Date,Match_Id,Batsman,Player_Id
6,0,0,8,0,0,0, India,Dhaka,10-01-2010,ODI # 2941,Oshane Thomas,49619
10,1,1,3,33.33,0,0, England,Nottingham,06-07-2011,ODI # 3169,Oshane Thomas,49619
11,0,0,2,0,0,0, Australia,Pallekele,10-08-2011,ODI # 3175,Oshane Thomas,49619
12,0,0,2,0,0,0, Pakistan,Dubai (DSC),11-11-2011,ODI # 3212,Oshane Thomas,49619
14,0,0,4,0,0,0, Pakistan,Dhaka,15-03-2012,ODI # 3260,Oshane Thomas,49619
15,0,0,1,0,0,0, Bangladesh,Dhaka,20-03-2012,ODI # 3265,Oshane Thomas,49619
16,1,1,5,20,0,0, India,Port of Spain,11-07-2013,ODI # 3388,Oshane Thomas,49619
18,1,1,1,100,0,0, Pakistan,Sharjah,18-12-2013,ODI # 3445,Oshane Thomas,49619
19,2,2,11,18.18,0,0, Pakistan,Abu Dhabi,25-12-2013,ODI # 3448,Oshane Thomas,49619
27,4,4,5,80,0,0, England,The Oval,22-05-2014,ODI # 3492,Oshane Thomas,49619
30,0,0,3,0,0,0, New Zealand,Dunedin,23-01-2015,ODI # 3588,Oshane Thomas,49619
31,3,3,5,60,0,0, New Zealand,Dunedin,25-01-2015,ODI # 3590,Oshane Thomas,49619
32,7,7,17,41.17,0,0, New Zealand,Christchurch,14-02-2015,ODI # 3599,Oshane Thomas,49619
37,1,1,3,33.33,0,0, Pakistan,Colombo (RPS),22-07-2015,ODI # 3671,Oshane Thomas,49619
39,1,1,4,25,0,0, West Indies,Colombo (RPS),01-11-2015,ODI # 3701,Oshane Thomas,49619
42,8,8,9,88.88,0,0, New Zealand,Christchurch,26-12-2015,ODI # 3714,Oshane Thomas,49619
44,7,7,8,87.5,0,0, England,Nottingham,21-06-2016,ODI # 3751,Oshane Thomas,49619
46,3,3,4,75,0,0, England,Bristol,26-06-2016,ODI # 3755,Oshane Thomas,49619
48,10,10,23,43.47,1,0, England,Cardiff,02-07-2016,ODI # 3758,Oshane Thomas,49619
49,0,0,1,0,0,0, Australia,Pallekele,04-09-2016,ODI # 3776,Oshane Thomas,49619
51,0,0,1,0,0,0, West Indies,Harare,16-11-2016,ODI # 3805,Oshane Thomas,49619
55,3,3,12,25,0,0, South Africa,Port Elizabeth,28-01-2017,ODI # 3828,Oshane Thomas,49619
56,2,2,5,40,0,0, South Africa,Durban,01-02-2017,ODI # 3830,Oshane Thomas,49619
57,0,0,6,0,0,0, South Africa,Johannesburg,04-02-2017,ODI # 3831,Oshane Thomas,49619
58,20,20,28,71.42,1,1, South Africa,Centurion,10-02-2017,ODI # 3834,Oshane Thomas,49619
59,8,8,9,88.88,1,0, Bangladesh,Dambulla,25-03-2017,ODI # 3855,Oshane Thomas,49619
60,0,0,1,0,0,0, Bangladesh,Dambulla,28-03-2017,ODI # 3856,Oshane Thomas,49619
61,2,2,1,200,0,0, Bangladesh,Colombo (SSC),01-04-2017,ODI # 3858,Oshane Thomas,49619
62,0,0,3,0,0,0, South Africa,The Oval,03-06-2017,ODI # 3877,Oshane Thomas,49619
64,26,26,34,76.47,3,0, Pakistan,Cardiff,12-06-2017,ODI # 3888,Oshane Thomas,49619
65,7,7,9,77.77,1,0, Pakistan,Dubai (DSC),13-10-2017,ODI # 3922,Oshane Thomas,49619
66,1,1,2,50,0,0, Pakistan,Abu Dhabi,16-10-2017,ODI # 3924,Oshane Thomas,49619
67,23,23,30,76.66,3,0, Pakistan,Sharjah,20-10-2017,ODI # 3927,Oshane Thomas,49619
69,11,11,22,50,0,0, India,Mohali,13-12-2017,ODI # 3941,Oshane Thomas,49619
70,1,1,2,50,0,0, India,Visakhapatnam,17-12-2017,ODI # 3942,Oshane Thomas,49619
71,5,5,9,55.55,0,0, Zimbabwe,Dhaka,17-01-2018,ODI # 3955,Oshane Thomas,49619
72,1,1,6,16.66,0,0, Bangladesh,Dhaka,19-01-2018,ODI # 3959,Oshane Thomas,49619
75,2,2,4,50,0,0, Bangladesh,Dhaka,27-01-2018,ODI # 3967,Oshane Thomas,49619
76,5,5,16,31.25,1,0, South Africa,Dambulla,29-07-2018,ODI # 4025,Oshane Thomas,49619
77,7,7,8,87.5,1,0, South Africa,Dambulla,01-08-2018,ODI # 4027,Oshane Thomas,49619
78,12,12,15,80,1,0, South Africa,Pallekele,05-08-2018,ODI # 4029,Oshane Thomas,49619
81,20,20,25,80,1,1, Bangladesh,Dubai (DSC),15-09-2018,ODI # 4036,Oshane Thomas,49619
83,0,0,2,0,0,0, India,Thiruvananthapuram,01-11-2018,ODI # 4064,Oshane Thomas,914567
84,0,0,2,0,0,0, Bangladesh,Dhaka,09-12-2018,ODI # 4071,Oshane Thomas,914567
89,0,0,1,0,0,0, England,St George's,27-02-2019,ODI # 4099,Oshane Thomas,914567
91,3,3,7,42.85,0,0, Ireland,Mohali,11-03-2011,ODI # 3126,Andre Russell,276298
92,49,49,46,106.52,2,3, England,Chennai,17-03-2011,ODI # 3135,Andre Russell,276298
93,0,0,5,0,0,0, India,Chennai,20-03-2011,ODI # 3141,Andre Russell,276298
